Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
4,0.61mm (24.00mils),NPTH,Slot,"L1 (Sig, PWR) - L4 (Sig, PWR)",Mechanical
Total 4,,,,,
